location,reference_date,energyscore,energyscore_norm,location_name
01,2025-11-29,178.8601268526009,0.3635368431963433,Alabama
02,2025-11-29,32.759371799747186,0.41467559240186314,Alaska
04,2025-11-29,63.61581684588103,0.21205272281960344,Arizona
05,2025-11-29,54.16042986951621,0.14797931658337762,Arkansas
06,2025-11-29,375.80265075186907,0.23140557312307208,California
08,2025-11-29,398.36193435520875,0.34048028577368267,Colorado
09,2025-11-29,403.01703889806964,0.4730246935423353,Connecticut
10,2025-11-29,76.40535956385283,0.4547938069276954,Delaware
11,2025-11-29,27.098687824168408,0.22582239853473673,District of Columbia
12,2025-11-29,884.2913302021741,0.21791309270630213,Florida
13,2025-11-29,500.5292296895241,0.3699403028008308,Georgia
15,2025-11-29,39.96165595895942,0.17920025093703776,Hawaii
16,2025-11-29,48.75022595875425,0.23104372492300593,Idaho
17,2025-11-29,411.9648917750914,0.34131308349220496,Illinois
18,2025-11-29,198.3790353178767,0.27629392105553857,Indiana
19,2025-11-29,47.59451640633968,0.29561811432509116,Iowa
20,2025-11-29,58.34319982642883,0.35146505919535437,Kansas
21,2025-11-29,133.0608725640059,0.2950351941552237,Kentucky
22,2025-11-29,284.6446643917771,0.2913456135023307,Louisiana
23,2025-11-29,55.71752349390464,0.3816268732459222,Maine
24,2025-11-29,325.84476059044914,0.3715447669218348,Maryland
25,2025-11-29,362.06288840090605,0.38232617571373395,Massachusetts
26,2025-11-29,289.5736245690489,0.3382869445900104,Michigan
27,2025-11-29,473.7393718571861,0.48439608574354404,Minnesota
28,2025-11-29,92.89671163101649,0.3236819220592909,Mississippi
29,2025-11-29,144.96385263438543,0.2777085299509299,Missouri
30,2025-11-29,24.08328678183943,0.2589600729230046,Montana
31,2025-11-29,47.48363192674016,0.3709658744276575,Nebraska
32,2025-11-29,82.80322690732166,0.36477192470185754,Nevada
33,2025-11-29,71.88881638424643,0.40615150499574254,New Hampshire
34,2025-11-29,961.2260541803571,0.45750883111868496,New Jersey
35,2025-11-29,121.51184911424289,0.38331813600707537,New Mexico
36,2025-11-29,3180.3817776560036,0.45447010255158665,New York
37,2025-11-29,1050.2295170669734,0.46843421813870356,North Carolina
38,2025-11-29,39.371537264012545,0.4188461411065164,North Dakota
39,2025-11-29,471.99037442758134,0.3432657268564228,Ohio
40,2025-11-29,44.313434314731,0.23824427050930644,Oklahoma
41,2025-11-29,29.61493074376083,0.1773349146332984,Oregon
42,2025-11-29,901.4888637821145,0.3191111022237574,Pennsylvania
44,2025-11-29,140.60640057962814,0.49860425737456787,Rhode Island
45,2025-11-29,252.88476234665637,0.3872660985400557,South Carolina
46,2025-11-29,12.206376177266096,0.29062800422062135,South Dakota
47,2025-11-29,203.7381882256937,0.29961498268484366,Tennessee
48,2025-11-29,1082.8138378801427,0.2765808015019522,Texas
49,2025-11-29,99.86818726378634,0.36581753576478515,Utah
50,2025-11-29,7.5596092810921025,0.27998552892933715,Vermont
51,2025-11-29,244.7529979537394,0.29920904395322667,Virginia
53,2025-11-29,49.757353029103925,0.1829314449599409,Washington
54,2025-11-29,35.3290898009856,0.29440908167488,West Virginia
55,2025-11-29,251.39195894224872,0.40678310508454485,Wisconsin
56,2025-11-29,19.152803422153873,0.27361147745934106,Wyoming
72,2025-11-29,108.23621572058241,0.12230080872382193,72
US,2025-11-29,15431.146719686514,0.34361687716412476,United States
01,2025-12-06,436.05960080200975,0.461927543222468,Alabama
02,2025-12-06,83.2052698686385,0.5299698717747675,Alaska
04,2025-12-06,161.72400919914085,0.284224972230476,Arizona
05,2025-12-06,166.79324885933863,0.2851166647168182,Arkansas
06,2025-12-06,791.8972058136775,0.2983787512485597,California
08,2025-12-06,704.9332191233983,0.3833242083324624,Colorado
09,2025-12-06,639.5713256315507,0.4472526752668187,Connecticut
10,2025-12-06,198.76217600966865,0.5430660546712258,Delaware
11,2025-12-06,79.0446886540047,0.3874739639902191,District of Columbia
12,2025-12-06,1565.7307376394317,0.2839555200651853,Florida
13,2025-12-06,1220.6278913192634,0.4718314230070597,Georgia
15,2025-12-06,81.27566077744392,0.28821156304058126,Hawaii
16,2025-12-06,83.66870885287241,0.2505051163259653,Idaho
17,2025-12-06,1238.5947674651186,0.48269476518515925,Illinois
18,2025-12-06,513.0938097326477,0.38549497350311623,Indiana
19,2025-12-06,200.15746669952415,0.49421596715931887,Iowa
20,2025-12-06,215.590042041958,0.5108768768766777,Kansas
21,2025-12-06,419.88446678421656,0.44244938544174556,Kentucky
22,2025-12-06,582.039355797518,0.37575168224500843,Louisiana
23,2025-12-06,122.65861653990228,0.43806648764250816,Maine
24,2025-12-06,547.4150004959199,0.3855035214759999,Maryland
25,2025-12-06,900.0967866062733,0.49185616754441164,Massachusetts
26,2025-12-06,775.7581372495389,0.45392518270891685,Michigan
27,2025-12-06,932.0179745165993,0.5043387307990256,Minnesota
28,2025-12-06,201.3056393321527,0.3947169398669661,Mississippi
29,2025-12-06,652.5885285461804,0.5122358936783206,Missouri
30,2025-12-06,90.39510950430892,0.4475005421005392,Montana
31,2025-12-06,134.9789883052379,0.4786488946994251,Nebraska
32,2025-12-06,237.96916823167498,0.4886430559171971,Nevada
33,2025-12-06,186.87810293302044,0.5162378534061338,New Hampshire
34,2025-12-06,1489.7385681938777,0.4364894720755575,New Jersey
35,2025-12-06,326.88733795457654,0.4923002077629165,New Mexico
36,2025-12-06,4284.820835118263,0.42144396922575617,New York
37,2025-12-06,2432.4733740519832,0.5282244026171516,North Carolina
38,2025-12-06,87.07314473956875,0.468135186771875,North Dakota
39,2025-12-06,1341.7470229404066,0.4691423157134289,Ohio
40,2025-12-06,136.56108019516174,0.3448512126140448,Oklahoma
41,2025-12-06,80.86346096249028,0.2940489489545101,Oregon
42,2025-12-06,1920.3803203156576,0.3957099361870302,Pennsylvania
44,2025-12-06,217.57354617090527,0.47298596993675057,Rhode Island
45,2025-12-06,769.2382359276767,0.5283229642360416,South Carolina
46,2025-12-06,43.5139641786042,0.4308313285010317,South Dakota
47,2025-12-06,718.0830323212683,0.4855192916303369,Tennessee
48,2025-12-06,2200.229137563956,0.35747020918991973,Texas
49,2025-12-06,196.2530114192691,0.4131642345668823,Utah
50,2025-12-06,31.930794580846836,0.45615420829781195,Vermont
51,2025-12-06,689.7416060747859,0.44157593218616253,Virginia
53,2025-12-06,96.2412071649923,0.24060301791248076,Washington
54,2025-12-06,136.54623546368677,0.45213985252876415,West Virginia
